Up to,1-3,4-12,>,Column
1 month,months,months,1 year,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"5,168,353",-,-,-,"5,168,353"
"8,046,456",-,-,-,"8,046,456"
"1,967,910",-,-,-,"1,967,910"
-,-,"700,251",-,"700,251"
"15,182,719",-,"700,251",-,"15,882,970"
