RESOLUTION,FOR,AGAINST,WITHHELD
Adoption of the minutes of the Sixty Sixth Annual General Meeting held on 26 June 2020,,,
"Adoption of the audited Financial Statements for the year ended 31 December 2020 together with the Chairman’s Statement and the reports
of the Directors and the Auditors",,,
Approval of the payment of a first and final dividend of Kshs 1.57/- per share in respect of the Financial Year ended 31 December 2020,,,
Approval of Directors’ Remuneration Report as detailed in the Annual Report for the Financial Year ended 31 December 2020,,,
Re-election of Mr Joseph Karago as a Director of the Company,,,
Re-election of Ms Margaret Shava as a Director of the Company,,,
"Appointment of Board Audit Committee comprising the following Members:-
a) Mr Joseph Karago
b) Ms Margaret Shava
c) Mr Maurice Odhiambo K’Anjejo
d) Mr. Paul-Henri Assier de Pompignan",,,
"Re-appointment of Messrs Ernst & Young LLP as Auditors of the Company and authorization of the Board to fix the Auditors’ Remuneration
for the ensuing financial year",,,
"Amend articles 54 (2) and 87 (3) of the Company’s Articles of Association by a Special
Resolution and the amended articles to read as follows:-
54 (2) “A meeting of the Board shall be held at the head office of the Company or at such other location contained in the notice convening
the meeting. The meetings may be held either by means of physical, hybrid or conference call, internet, voice over internet protocol,
electronic or other communication facilities or channels permitting all persons participating in the meeting to communicate adequately
during the meeting, allows for simultaneous communication and is capable of being recorded and such participation shall constitute a
presence of a quorum at a meeting of the Directors as if those participating were present in person.”
87 (3) “The Board may determine the place and time at which the Members meet and the manner in which General meetings are
coordinated. General meetings may be held either physically or by use of technology and electronic communication such as video
conferencing, webinars, teleconferencing and any such other technology or a hybrid of both physical and virtual meetings provided that
the channels permitted allows all persons to participate, vote and communicate adequately during the meeting and is capable of being
recorded and such participation shall constitute a presence of a quorum at a meeting of the Members as if those who were participating
were present in person.”",,,
