Column,KShs’000,KShs’000
Maturing within one year,"387,415","382,867"
Maturing over one year to five years,"2,033,929","2,010,051"
Maturing after five years,"2,135,625","2,110,553"
Total operating lease commitments,"4,556,969","4,503,471"
