KShs’000,KShs’000
"4,763,870","10,074,203"
"(1,146,545)","(1,347,933)"
"3,617,325","8,726,270"
"(2,167,019)","(1,692,008)"
"(20,945)","(28,268)"
"216,862","243,660"
"275,000",-
"154,968","5,300"
"(1,541,134)","(1,471,316)"
"(195,062)","(57,297)"
"(259,297)","(203,917)"
"(106,549)","(75,817)"
"(988,382)","(818,405)"
"(1,549,290)","(1,155,436)"
"526,901","6,099,518"
"(18,395)","(40,529)"
"9,591,950","3,532,961"
"10,100,456","9,591,950"
