Group,No. of Members,No. of Shares Held,% of Issued Share Capital
Foreign Investors,85,"595,248,309",94.533%
East Africa Individual Investors,"5,389","25,165,199",3.997%
East Africa Institutional Investors,386,"9,128,950",1.450%
TOTAL,"5,860","629,542,458",100.00%
