1. Organizational Profile,Column,Column
,,Page No.
102-1,Name of Organization,34
102-6,Market Served,34
102-7,Scale of organization,34
102-8,Information on employees and other workers,"51,52,53"
102-12,External Initiatives,"37,54,55"
102-13,Membership of Associations,"37,45"
2. Strategy,,
102-14,Statement from senior decision makers,32
102-15,"Impacts, risks and opportunities",44
3. Ethics and Integrity,,
102-16,"Values, principles, standards and norms of behavior","46,47"
102-17,"Mechanisms, advice and concern about ethics","46,47"
4. Governance,,
102-18,Governance structure,46
5. Stakeholder Engagement,,
102-40,List of stakeholder groups,50
102-42,Identification and selection of stakeholders,50
102-43,Approach to stakeholder engagement,50
102-44,Key topics,50-55
6. Reporting practice,,
102-47,List of material topics,38
102-55,GRI content index,57
Disclosure 201 – Economic Performance,,
,General Disclosures,
102-35,Remuneration Policies,Annual Report
102-36,Process of determining remuneration,Annual Report
,Economic Performance,
201-1,Direct economic value generated and distributed,"Annual Report, 37"
201-3,Defined benefit plans obligations and other retirement plans,Annual Report
Disclosure 302 – Energy,,
302-1,Energy consumption within the organization,37
302-3,Energy intensity,37
303-4,Reduction of energy consumption,39
303-5,Reduction in energy requirements of products and services,39
Disclosure 401 - Employment,,
401-1,New employee hires and employee turn over,51
Disclosure 403 – Occupational Health and Safety,,
403-1,Occupational Health and Management System,42
403-2,"Hazard identification, risk assessment and incident investigation",43
403-3,Occupational Health Services,"42,43,52"
403-5,Worker training on OHS,"44,45"
403-6,Promotion of worker health,53
403-7,Prevention and mitigation of OHS impacts directly linked by business relationship,44
403-8,Worker covered by an OHS management system,44
403-9,Work related injuries,43
Disclosure 404 – Education and Training,,
404-1,Average hours of training per year per employee,"53,56"
404-2,Programs for upgrading employee skills and transition assistance programs,"44, 45,53"
Disclosure 405 – Diversity and Equal Employment,,
,Diversity and Equal Employment General Disclosures,"51,52"
405-1,Diversity of governance bodies and employees,52
