Column,Column,2024,2023
,Notes,KShs’000,KShs’000
Revenue from contracts with customers,,"151,487,770","156,432,095"
Indirect taxes and duties,,"(37,274,855)","(35,713,695)"
Net revenue from contracts with customers,3,"114,212,915","120,718,400"
Cost of sales,4,"(105,219,189)","(107,882,717)"
Gross profit,,"8,993,726","12,835,683"
Other income,5,"2,796,836","2,071,216"
Operating expenses,6 (a),"(7,506,213)","(8,040,363)"
Net allowance for expected credit losses,6 (b),"(475,486)","(433,816)"
Net loss on disposal of government securities at FVOCI,6 (c),"(222,285)",-
Finance income,7 (a),"234,214","890,932"
Finance costs,7 (b),"(3,830,463)","(2,319,090)"
Net foreign exchange gain/(loss),7 (c),"2,072,802","(385,142)"
Profit before tax,8,"2,063,131","4,619,420"
Tax charge,9 (i),"(575,698)","(1,596,496)"
Profit for the year,,"1,487,433","3,022,924"
Other comprehensive income/ (loss),,,
Items that may be reclassified subsequently to profit or loss:,,,
- Net fair value loss on remeasurement of government securities through OCI,16,-,"(393,169)"
,16,"393,169",-
,,-,-
- Changes in allowance for expected credit losses,6 (b),-,"189,520"
- Reclassification to profit or loss,6 (b),"(189,520)",-
- Related deferred tax,-,-,-
"Other comprehensive income, net of tax",,"203,649","(203,649)"
,,"1,691,082","2,819,275"
,10,2.36,4.80
