Stakeholders,Topic of Interests,Engagement Channel and Frequency
Customers,"• Customer satisfaction
• Customer experience and engagement
• Quality products, services, and solutions","• Customers are engaged via social media, frequent
customer satisfaction surveys, customer service week
and other customer events"
"Service providers
(Suppliers, contractors
& transporters)","• Active player in local economy
• Communication
• Policies on health and safety, Human rights and Anti-corruption","• Suppliers/contractors are engaged through seminars,
audits, evaluations, questionnaires and Code of Conduct"
Employees,"• Long-term employability
• Develop skillsets
• Employee engagement and development","• Employees are engaged via regular dialogue sessions
and forums by senior management and questionnaires,
company intranet as well as frequent employee activities"
"Government and
regulators","• Transparency
• Sustainable relationships
• Maintaining confidence in our management capacity and
performance
• Management of stakeholders’ concerns regarding:
• HSE impacts
• Environment
• Health
• Safety
• Traffic nuisances
• Other nuisances","• Maintaining Communication with Government and
regulators through regulatory and legal reforms/changes
and meetings"
"Neighbouring
communities (Depots,
industrial areas, civil
society, and business
partners)","• Road safety
• Economic empowerment
• Education
• Health
• Access to energy
• Environmental issues","• Community investments and CSR donations
• Sporting events"
Board of directors,"• Strategic planning
• Financial performance and reporting
• Risk management and mitigation strategies
• Compliance with legal and regulatory requirements
• Board governance and oversight of management","• Meetings are held with BOD members to maintain
transparency
• More information is shared on the website through
shareholder reports"
