"14. GOODWILL (continued)
(b) Goodwill arising from acquisition of Total Marketing Kenya Limited",Column,Column
,"2010
Kshs’000","2009
Kshs’000"
"Cost
Balance at beginning of year
Additional amounts recognised from business
combination (note 28(iv))
Transfers to property, plant and equipment (note 12)
Balance at end of year
Accumulated impairment losses
Balance at beginning and end of year","6,060,047
-
(5,979,972 )
80,075
-","-
6,060,047
-
6,060,047
-"
,"80,075","6,060,047"
"Goodwill amounting to Kshs 6,060,047,000 arose from the acquisition of a Total Marketing Kenya Limited. With effect from
1 November 2010, the operations of Total Marketing Kenya Limited were merged with those of Total Kenya Limited and this
was achieved through a business sale agreement which resulted in the transfer of all Total Marketing Kenya Limited business,
assets and liabilities to Total Kenya Limited.
The initial accounting for the acquisition of Total Marketing Kenya Limited had only been provisionally determined at the end
of the reporting period. The fair valuation of acquired assets and liabilities was performed during the year and completed
on 31 March 2010. This has resulted in a change in the amount of fair values of net assets acquired and hence the goodwill
recognised. An amount of Kshs 5,979,972 representing the excess of fair values over net book value of assets acquired has
been transferred from goodwill to property, plant and equipment.
Allocation of goodwill to cash-generating units
Goodwill has been allocated for impairment testing purposes to the following cash generating units:
• Network service station operations – cash flows and profits from acquired stations as well as rent income paid by
dealers operating acquired stations
• Blending plant – cash flows and profits from acquired blending plant
• Depot - cash flows and profits from acquired depot
Before review of impairment losses, the carrying amount of goodwill was allocated to the cash generating units as follows;",,
,"2010
Kshs’000","2009
Kshs’000"
"Network service stations
Blending plant
Depot","59,999
12,012
8,064","-
-
-"
,"80,075",-
