At 31 December 2023,"On
demand","Up to
1 month","01-03
months","4-12
months",">
1 year",Total
,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
,-,"10,946,768","8,234,606","5,261,535","947,741","25,390,650"
,-,"2,457,621","2,061,642","3,848,901","667,219","9,035,383"
,-,-,-,"184,481","810,415","994,895"
,"5,593,022",-,-,-,-,"5,593,022"
,"5,593,022","13,404,389","10,296,248","9,294,917","2,425,275","41,013,950-"
,-,"504,224",-,-,-,"504,224"
,-,-,-,"1,807,298",-,"1,807,298"
,"5,593,022","13,908,613","10,296,248","11,102,215","2,425,275","43,325,472"
