GROUP,NO. OF MEMBERS,NO. OF SHARES HELD,PERCENT
Foreign Investors,85,"595,768,737",94.64%
E.A.P.S. Individuals,"5,611","25,323,845",4.02%
E.A.P.S. Institutions,372,"8,449,876",1.34%
TOTAL,"6,068","629,542,458",100.00%
