"For the year ended December 31, Notes",2009,2008
,"353,309
43,725
639
115,734
513,408
377",
,"269,766
-
269,766
(18,652)
251,114",
,"733,699
220,110
31,081
(77)
-
251,114",
,"(112,817)
(269,766)
310,851
(71,732)",
