Column,"1,993,644
985,551
523,431",Column
-,,"1,993,644"
-,,"985,551"
"345,886",,"869,317"
,"3,502,626",
"345,886",,"3,848,512"
,"(5,168,353)
(42,033)
(1,715,872)",
-,,"(5,168,353)"
-,,"(42,033)"
"(252,038)",,"(1,967,910)"
,"(6,926,258)",
"(252,038)",,"(7,178,296)"
,"(3,423,632)",
"93,848",,"(3,329,784)"
,"4,712,774
1,035,039
899,891",
-,,"4,712,774"
-,,"1,035,039"
"71,308",,"971,199"
,"6,647,704",
"71,308",,"6,719,012"
,"(3,804,232)
(3,508,491)
(25,120)",
-,,"(3,804,232)"
"(48,979)",,"(3,557,470)"
-,,"(25,120)"
"(48,979)","(7,337,843)","(7,386,822)"
