Name of Member,Eligible No. of meetings,No. of meetings attended,Overall % attendance
Maurice K’Anjejo,2,2,100%
Catherine Musakali,-,-,-
Joseph Karago,2,2,100%
Eric Fanchini,2,2,100%
Lawrencia Gichatha,2,2,100%
John Maonga,2,2,100%
