ESG Material Topic,Metrics relevant to Total,TMK Performance,Column
,,2023,2022
Climate and Sustainable Energy,,,
,"Scope 1 CO2 emissions (tCOe)
2",339,366
,"Scope 2 CO2 emissions (tCOe)
2",238,405
,"Total Scope 1 & 2 emissions (tCOe)
2",577,771
Energy Efficiency,Electricity consumed (MWh),"2,236","2,507"
Low energy Carbon transition,"Number of Biodiesel projects
piloted",1,-
,"Number of EV Mobility sites with
our Partners",13,3
,"Number of TMK EV charging units
installed",2,-
"Accessible and Affordable Energy
for All",Cumulative solar lamps distributed,"522,000","501,000"
Care for the environment,,,
"Offsetting Emissions with Nature
Carbon Sinks","Number of trees planted
(Eco Challenge Program)","30,220","30,287"
Conserving water resources,Quantity of water withdrawn (litres),"23,921,180","31,114,544"
,"Number of stations harvesting
rainwater",27,2
Circular Resource Management,"Quantity of waste generated from
TMK own activities Hazardous &
Non-Hazardous waste (tons)",158,264
,"Number of plastic waste collection
points in collaboration with Mr.
Green",10,2
,"Waste collected and recycled via
Mr. Green (in tons)",35,18
,"Number of electronic waste
collection points in collaboration
with WEEE Centre",4,2
,"Waste collected and recycled
through WEEE Centre (tons)",0.5,0.5
,"Tons of Post Consumer Recycled
(PCR) Content in Recycled Lube
Packaging",3.4,-
Acting for the well-being of employees,,,
Ensuring People’s Safety,"Number of joint safety tours
conducted",48,38
,Total Recordable Injury Rate,0,0
,Life Saving Checks,"3,397","2,073"
Transforming with our People,"Average hours of training per
employee",55.2,56.8
"Diversity, equity, and inclusion",Number of women in workforce,37%,34%
,"Number of women in managerial
roles",35%,29%
