19. TRADE AND OTHER RECEIVABLES,Column,Column
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Trade receivables
Allowance for doubtful debts
Recoverable taxes
Other receivables and prepayments
Total trade and other receivables","8,467,659
(465,627 )
8,002,032
1,297,139
107,703
9,406,874","6,847,237
(592,253 )
6,254,984
1,351,333
385,386
7,991,703"
Recoverable taxes relate to advance payments for excise duty on petroleum products.,,
"20. RELATED COMPANY BALANCES
(i) Amounts due from related companies in thousand of Kshs",,
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Air Total International
NETCO Management Limited
Total Uganda Limited
Total Malawi
Fina Congo S.A.R.L
Total Tanzania Limited
Other Related companies","1,585,317
214,448
175,170
27,828
10,301
-
1,222","1,139,360
166,643
211,425
-
32,549
471
-"
,"2,014,286","1,550,448"
"(ii) Amounts due to related companies
Total Uganda Limited
Total Raffinage Marketing
Air Total International
Total Middle East","37,615
33,313
15,634
-","-
42,077
-
39,111"
,"86,562","81,188"
