Director,"Role/appointment or retirement
date",Category,"Gross
earnings
including
pension
contribution","Annual
bonus","Directors
fees","Sitting
allowances",Benefits*,Total
,,,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
Jean- Phillipe Torres,Chairman,"Non-
executive",-,-,-,-,-,-
Olagoke Aluko,Managing Director,Executive,"22,765","4,078",-,-,"26,903","53,746"
Lawrencia Gichatha,Finance Manager,Executive,"13,400",983,-,-,"1,050","15,433"
John Muchunu,"Strategy and Corporate Affairs
Director",Executive,"17,014","1,078",-,-,109,"18,201"
Stanislas Mittelman,,"Non-
executive",-,-,-,-,-,-
Joseph Karago,,"Non-
executive",-,-,"1,600","1,600",-,"3,200"
Margaret W.N. Shava,,"Non-
executive",-,-,"1,600","1,900",-,"3,500"
Maurice K’Anjejo,Appointed on 18 November 2021,"Non-
executive",-,-,-,-,-,-
"Paul-Henri Assier de
Pompignan",Appointed on 31 March 2021,"Non-
executive",-,-,-,-,-,-
Joe Muchekehu,Retired on 26 June 2021,"Non-
executive",-,-,800,500,-,"1,300"
Severine Julien,Resigned on 31 March 2021,"Non-
executive",-,-,-,-,-,-
Totals,,,"53,179","6,139","4,000","4,000","28,062","95,380"
Summary,,,,,,,,
Cash emoluments,,,"53,179","6,139","4,000","4,000",-,"67,318"
"Non-cash
emoluments",,,-,-,-,-,"28,062","28,062"
Totals,,,"53,179","6,139","4,000","4,000","28,062","95,380"
