Up to,1-3,4-12,>,Column
1 month,months,months,1 year,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"6,735,716","751,457",-,-,"7,487,173"
"7,044,031",-,"21,876","208,755","7,274,662"
-,-,"519,603",-,"519,603"
"13,779,747","751,457","541,479","208,755","15,281,438"
