Recipient,People Impacted,"Donation
amount (KShs.)",Contribution,Details
"World Vision Kenya
sponsorship",100,"150,000",Cash,"Cash donated to World Vision Kenya program for
mentorship of 100 vulnerable children at Salgaa town."
"Aswani Kizito Children’s
home sponsorship",80,"300,000",Cash,"The donation was courtesy of appeal by pro cyclist
Suleiman Kangangi, who undertook a 1,000KM charity
ride, of which the children’s home was one of the
beneficiaries."
"SOS Children’s Villages
sponsorship",80,"1,800,000",Cash,"Annual sponsorship of four houses at the rescue centre
(TMK) contribution KShs. 1.4 million and individual
staff contribution KShs.400,000."
"Rhino Charge 2021 fuel
sponsorship","3,000","737,170",In-kind,"Fuel sponsorship of the Rhino Charge 2021, an off-road
driving challenge organized to raise funds to support
the activities of the Rhino Ark Charity Trust, an NGO
which works towards the conservation and protection
of Kenya’s mountain ecosystems, the Water Towers."
"G-Thamini Youth Group
sponsorship",700,"200,000",Cash,"A youth support group based at Mukuru Slums in
Nairobi. Support is towards Guidance & counseling
services for youths, purchase of reading books,
sanitary towels & office equipment."
"StoryMoja Publishers
‘Start a Library’
sponsorship",99,"100,000",Cash,"Storymoja is a local children’s book publisher who run
a project where they donate reading books to public
schools & children’s homes to encourage reading
culture."
"Africa Extreme - KARI Bike
Challenge sponsorship",40,"350,000",Cash,"Support towards the KARI Bike Challenge, a mountain
bike competition aimed at raising funds for Safari
Simbaz Trust that uses cycling to support children and
youth from disadvantaged backgrounds."
"Thika High School for the
Blind sponsorship",382,"150,000",Cash,"Support towards the renovation of the school’s French
class room."
Total,"4,481","3,787,170",,
