"2023
KShs’000","2022
KShs’000"
"156,432,095","141,346,899"
"(35,713,695)","(38,544,483)"
"120,718,400","102,802,416"
"(107,882,717)","(93,222,522)"
"12,835,683","9,579,894"
"2,071,216","1,581,647"
"(8,040,363)","(7,119,539)"
"(433,816)","(33,219)"
"890,932","567,259"
"(2,319,090)","(919,890)"
"(385,142)","146,842"
"4,619,420","3,802,994"
"(1,596,496)","(1,358,667)"
"3,022,924","2,444,327"
"(203,649)",-
"2,819,275","2,444,327"
4.48,3.88
