13. PREPAID OPERATING LEASES,Column,Column
,"2011
Kshs’000","2010
Kshs’000"
"COST
At 1 January
Additions
Disposals
Reclassification to assets held for sale
At 31 December
AMORTISATION
At 1 January
Amortisation for the year
Disposals
Reclassification to assets held for sale
At 31 December
NET BOOK VALUE
At 31 December","1,012,094
173,636
(7,920 )
-
1,177,810
416,045
79,490
(2,351 )
-
493,184
684,626","937,612
122,936
(20,828 )
(27,626 )
1,012,094
381,536
66,162
(14,272 )
(17,381 )
416,045
596,049"
"The prepaid operating leases relate to amounts that the company has paid for the leased land on which most of
its stations and depots stand.
The prepaid operating leases with net book value of Sh 684,626,000 (2010 – Sh 596,049,000) have been charged
to secure banking facilities granted to the company as disclosed in note 24.",,
