Column,KShs’000,KShs’000
a). Dividends payable,,
The movement in dividends payable is as follows:,,
At 1 January,-,-
Final dividend declared 2020 and 2021,"824,701","988,382"
Dividend paid,"(824,659)","(988,382)"
Balance at 31 December,42,-
b). Dividends declared/proposed in respect of the year,,
"Proposed for approval at the Annual General Meeting
(not recognised as a liability as at 31 December):","824,701","824,701"
