"Gross
earnings
including
pension
contribution",Annual bonus,Directors fees,"Sitting
allowances",Benefits*,Total
KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000
-,-,-,-,-,-
"22,765","4,078",-,-,"26,903","53,746"
"13,400",983,-,-,"1,050","15,433"
"17,014","1,078",-,-,109,"18,201"
-,-,-,-,-,-
-,-,"1,600","1,600",-,"3,200"
-,-,"1,600","1,900",-,"3,500"
-,-,-,-,-,-
-,-,-,-,-,-
-,-,800,500,-,"1,300"
-,-,-,-,-,-
"53,179","6,139","4,000","4,000","28,062","95,380"
"53,179","6,139","4,000","4,000",-,"67,318"
-,-,-,-,"28,062","28,062"
"53,179","6,139","4,000","4,000","28,062","95,380"
