KShs’000,KShs’000
"3,992,919","4,784,574"
"26,915","27,625"
"(216,862)","(243,660)"
"283,265","157,482"
"(26,989)","(62,050)"
"185,759","60,000"
"31,157","(59,479)"
"2,929","(96,097)"
"(7,690)","5,804"
"1,531,454","1,493,210"
"238,835","212,872"
"28,501","26,363"
"(275,000)",-
"(87,432)","(2,265)"
"5,707,761","6,304,379"
"(1,342,777)","291,405"
"(701,898)","(444,982)"
"1,184,468","4,962,227"
"811,251","(673,408)"
"(773,659)","44,475"
"(121,277)","(369,393)"
-,"(40,500)"
"4,763,870","10,074,203"
