Land,Buildings,"Property, plant
and machinery","Furniture,
fittings and
equipment","Capitalwork-
in-progress*",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"223,124","7,621,630","21,924,856","943,471","594,762","31,307,843"
-,"271,786","1,597,425","126,514","283,647","2,279,372"
-,"135,559","356,164","11,618","(579,897)","(76,556)"
-,"(18,039)","(30,590)","(5,572)",-,"(54,201)"
"223,124","8,010,936","23,847,855","1,076,031","298,512","33,456,458"
-,"4,037,803","14,279,747","796,965",-,"19,114,515"
-,"359,474","1,140,123","80,524",-,"1,580,121"
-,"(17,847)","(26,806)","(5,488)",-,"(50,141)"
-,"4,379,430","15,393,064","872,001",-,"20,644,495"
"223,124","3,631,506","8,454,791","204,030","298,512","12,811,963"
