"GRI STANDARD/ OTHER
SOURCE",DISCLOSURE,LOCATION
ANTI-COMPETITIVE BEHAVIOR,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,72
"GRI 206: Anti-competitive
Behavior 2016","206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",72
TAX,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,72
GRI 207: Tax 2019,207-1 Approach to tax,72
,"207-2 Tax governance, control, and risk management",72
,207-3 Stakeholder engagement and management of concerns related to tax,50-52
,207-4 Country-by-country reporting,N/A
MATERIALS,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,69
GRI 301: Materials 2016,301-1 Materials used by weight or volume,69
,301-3 Reclaimed products and their packaging materials,69
ENERGY,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,56
GRI 302: Energy 2016,302-1 Energy consumption within the organization,57-59
,302-2 Energy consumption outside of the organization,57-59
,302-3 Energy intensity,57-59
,302-4 Reduction of energy consumption,57-59
,302-5 Reductions in energy requirements of products and services,57-59
