Column,"Share capital
KShs’000
(Note 21)","Share premium
KShs’000
(Note 22)","Retained
earnings
KShs’000","Fair value
reserve
KShs’000","Total equity
KShs’000"
As at 1 January 2023,"9,974,771","1,967,520","18,288,158",-,"30,230,449"
Dividends declared – 2022 (Note 11),-,-,"(824,701)",-,"(824,701)"
Profit for the year,-,-,"3,022,924",-,"3,022,924"
Other comprehensive income,-,-,-,"(203,649)","(203,649)"
Total comprehensive income,-,-,"3,022,924","(203,649)","2,819,275"
As at 31 December 2023,"9,974,771","1,967,520","20,486,381","(203,649)","32,225,023"
As at 1 January 2024,"9,974,771","1,967,520","20,486,381","(203,649)","32,225,023"
Dividends declared – 2023 (Note 11),-,-,"(1,208,721)",-,"(1,208,721)"
Profit for the year,-,-,"1,487,433",-,"1,487,433"
Other comprehensive income,-,-,-,"203,649","203,649"
Total comprehensive income,-,-,"1,487,433","203,649","1,691,082"
As at 31 December 2024,"9,974,771","1,967,520","20,765,093",-,"32,707,384"
