Foreign Investors,87,"595,803,501",94.64%
E.A.P.S. Individuals,"5,513","25,470,136",4.05%
E.A.P.S. Institutions,369,"8,268,821",1.31%
TOTAL,"5,969","629,542,458",100.00%
