Skills and Experience,Relevance to the Company,Percentage (%)
"Accounting / Financial Expert/ Auditing/
Taxation/ Economics/ Technical Audit","Enables robust capital management and ensures transparency and
accountability in financial reporting. Also, helps the Company to
monitor the taxation policies and its effect on the business operations.",100
Prior Board Experience in a Regulated Entity,"Understanding of Company compliance requirements, including
reporting and shareholder meeting requirements.",100
Capital Markets and the regulations in Kenya,"Ensuring that the Company is compliant with the laws and regulations
of the Capital Markets and the regulations in Kenya.",88.89
Commercial Experience,"Enables diverse business models and nuances of financial disclosures
to increase the profitability of the Company.",100
Corporate Governance,"Facilitating an environment that allows for cohesiveness, prudent
decision making, accountability, transparency, control and driving
culture.",100
"Environmental, Social and Governance skills
and experience","Developing the Company’s environmental and sustainability agenda
for the long-term benefit of its stakeholders, including consistent
shareholder returns.",100
Executive Management,"Facilitating evaluation of the performance of the Managing Director and
senior executive managers.",100
Human Resources/ Human Capital,"Oversee strategic human resource management including workforce
planning.",100
"Information Technology Strategy and
Governance","Development of a suitable Company ICT strategy in a pervasive digital
service delivery and data intensive environment.",100
"Industry Knowledge - Petroleum and Oil
Industry (energy mix)","Facilitating the development, implementation, and assessment of the
operating plan and business strategy. Also enables the Company to
provide the customers with safe, reliable, and affordable energy.",100
"Investor Relations and Marketing/ Public
Relations",Promote investor confidence in the Company’s operations.,100
"Knowledge in Company’s Policies,
Programmes and Strategies","Monitor the effectiveness of the Company’s operations and strategies
in promoting and enhancing the growth of the Company.",100
"Knowledge in Group’s Policies, Programmes
and Strategies","Assists the Board to align the operations of the Company to the Group’s
Policies, Programmes and Strategies.",100
Leadership and Strategy,"Increases the ability to think strategically and identify and critically
assess strategic opportunities and threats and develop effective
strategies for the Company.",100
Legal Expertise and Experience,"Enabling suitable interpretation of the laws and regulations, and
providing advisory services to the Board in ensuring compliance thereof.",48.15
"Legal and regulatory environment applicable
to the oil industry in Kenya","Ensuring that the Company is compliant with the laws and regulations
of the oil industry in Kenya.",100
Mergers & Acquisitions Experience,"Understanding diversity of mergers and acquisitions for better decision
making when such proposals arise.",100
"Risk Management, Compliance Oversight
and Internal Controls","Facilitating a fit for purpose risk management framework that is
protective of the Company’s interests and long-term objectives.",100
