"Total
KShs’000"
"2,728,325
309,459"
"3,037,784"
"(5,919,348 )
(848,052 )"
"(6,767,400 )"
"(3,729,616 )"
"3,384,195
4,644,032"
"8,028,227"
"-
(12,031,702 )"
"(12,031,702 )"
"(4,003,475 )"
