"15. INTANGIBLE ASSETS
(b) Goodwill arising from acquisition of Total Marketing Kenya Limited",Column,Column
,"2010
Kshs’000","2009
Kshs’000"
"Cost
At 1 January
Additions
Acquisition through
business combination
Transfers from property, plant and equipment
At 31 December
AMORTISATION
At 1 January
Charge for the year
Acquisition through
business combination
At 31 December
NET BOOK VALUE
At 31 December","295,681
82,982
-
1,902
380,565
177,085
135,751
-
312,836
67,729","116,780
1,913
176,988
-
295,681
90,562
31,403
55,120
177,085
118,596"
"The intangible assets relate to accounting, payroll and other computer software acquired by the company.",,
16. OTHER ASSETS,,
,"2010
Kshs’000","2009
Kshs’000"
"At 1 January
Prepayments during the year
Expensed during the year","154,145
-
(45,229 )","-
154,145
-"
At 31 December,"108,916","154,145"
"Maturity analysis:
Current
Non current","38,499
70,417","45,229
108,916"
At 31 December,"108,916","154,145"
"Other assets consist of prepaid loan commitment fees, legal and professional fees incurred to raise the medium term borrowing
from a consortium of local banks. These costs are amortized over the life of the underlying medium term borrowings using the
effective interest method.
The effective interest method is a method of calculating the amortised cost of a debt instrument and of allocating interest
expense over the relevant period. The effective interest rate is the rate that exactly discounts estimated future cash payments
(including all fees and points paid or received that form an integral part of the effective interest rate, transaction costs and
other premiums or discounts) through the expected life of the debt instrument, or, where appropriate, a shorter period, to
the net carrying amount on initial recognition.",,
