ESG highlight Area,2024,2023
"Net Zero Ambition by
2050","• 1.56% decrease in Scope 1 & 2 emissions
• Reduction of approximately 49 TCOe through
2
the adoption of Viscosity Index Improver
technology at the Blending plant
• 10 new EV charging units for two-wheelers
• 2 new EV charging units for four-wheelers.","• 25% decrease (2023 vs. 2024) Scope 1 & 2
emissions (577 TCOe)
2
• 13 EV charging units for two-wheelers
• 2 EV charging units for four-wheelers"
Low carbon Products,"• 93,800 liters of Biodiesel sold
• Commercial rollout of Biodiesel
• Rolled out LPG to over 200,000 households
annually in Kenya in partnership with M-gas",• Piloted Biodiesel
Solarization,"• 152 Stations powered by solar
• 1 new Solar powered depot","• 148 Stations solarized
• 3 Depots solarized
• Head office powered by solar"
Waste,"Collected & recycled:
• 22 tons of plastic waste
• 1.75 tons of e-waste
• 45 tons Post Consumer Recycled (PCR)
Content in recycled lube packaging","Collected & recycled:
• 35 tons of plastic waste
• 0.5 tons of e-waste
• 3.4 tons Post Consumer Recycled (PCR)
Content in recycled lube packaging"
Water,"• Rainwater harvesting in 36 stations
• Total water usage 28.6 million Liters","• Rainwater harvesting in 27 stations
• Deployed water-savings sensor taps"
Biodiversity,"• Planted 30,000 trees through Eco- Challenge
Program
• Over 60 employees volunteered in tree planting
initiatives","• Planted 30,220 trees through Eco- Challenge
Program
• 73 employees volunteered in the tree planting"
