KShs’000,KShs’000
"11,591,676","11,022,938"
"1,726,250","1,672,470"
"416,679","416,679"
"222,465","230,731"
"393,864","308,343"
"14,350,934","13,651,161"
"7,747,934","6,436,314"
"12,583,149","11,833,785"
"2,223,257","1,449,598"
"10,100,456","9,591,950"
"32,654,796","29,311,647"
"24,364","24,364"
"32,679,158","29,336,011"
"47,030,094","42,987,172"
"9,974,771","9,974,771"
"1,967,520","1,967,520"
"16,668,532","14,918,006"
"28,610,823","26,860,297"
"897,793","756,621"
"922,036","848,908"
"419,976","234,217"
"2,239,805","1,839,746"
"249,435","311,096"
"13,010,452","11,939,415"
"229,735","36,748"
"2,536,331","1,725,080"
"153,513","274,790"
"16,179,466","14,287,129"
"47,030,094","42,987,172"
