For the year ended December 31 Notes,2009,2008
,"688,345
(310,851)
377,494",
,"(138,017)
(1,913)
1,513
-
(10,616,281)
(10,754,698)",
,"(538,000)
11,614
(445,983)
4,680,000
3,899,447
(154,145)
7,452,933",
,"(2,924,271)
(2,256,000)
(3,492,670)
(8,672,941)",
