Name of Depot/ Facility,Installed capacity (KWp),Year Installed
Kisumu Lubes Warehouse,19,2021
Lubricants Blending Plants (LOBP),25,2022
Nairobi Lubes Warehouse,17,2022
Regal Plaza (Head Office),43,2023
