"Land and
buildings","Property, plant
and machinery","Furniture,
fittings and
equipment","Capital
work-in-
progress",Total
,KShs’000,KShs’000,KShs’000,
"4,173,724","13,348,098","868,611","521,899","18,912,332"
"153,954","748,058","43,241","359,065","1,304,318"
"17,480","351,556","18,106","(387,142)",-
"(35,987)","(131,935)","(149,960)",-,"(317,882)"
"4,309,171","14,315,777","779,998","493,822","19,898,768"
"1,774,985","7,453,948","740,616",-,"9,969,549"
"201,954","935,060","58,614",-,"1,195,628"
"(20,298)","(108,037)","(146,795)",-,"(275,130)"
"1,956,641","8,280,971","652,435",-,"10,890,047"
"2,352,530","6,034,806","127,563","493,822","9,008,721"
