Up to 1 month,1-3 months,4-12 months,>,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"5,971,296","154,538","93,338",-,"6,219,172"
"2,833,916",-,-,"208,755","3,042,671"
"6,590","9,684","263,461","1,535,704","1,815,439"
-,-,"682,301",-,"682,301"
"8,811,802","164,222","1,039,100","1,744,459","11,759,583"
