Corporate Social Investments Categories,Amount (KShs) in 2024,Amount (KShs) in 2023
Biodiversity,"9,949,643","11,347,214"
Youth Education and Inclusion,"6,954,112","1,215,712"
Health,"3,224,700","318,000"
TOTAL,"20,128,455","12,880,926"
