Recipient,"Donations
(KShs)",Contribution,Details
"Majoreni mangrove
tree planting","800,000.00",Cash,"Planted 7,000 mangrove seedlings at Majoreni, Kwale County in
conjunction with the local community under the EcoChallenge
program."
Aga Khan Academy (Mombasa),"250,000.00",Cash,"Sponsorship of a golf charity tournament in aid of the Aga Khan
Academy Mombasa’s scholarship fund for needy students."
"Nairobi Metropolitan Services
(NMS) via PIEA (Petroleum
Institute of East Africa)","50,000.00",In-kind,"Donation of fuel towards emergency repairs of Tanga Road in
Industrial Area, to avert potential incidence escalation in case of fire
emergency at the fuel depots located on this road."
"Rhino Ark Charitable Trust
(Rhino Charge 2022)","964,749.00",In-kind,"Fuel sponsorship of the Rhino Charge 2022, an off-road driving
challenge organized in order to raise funds to support the activities
of the Rhino Ark Charity Trust, an NGO which works towards the
conservation and protection of Kenya’s mountain ecosystems, the
Water Towers."
Mau Forest tree planting,"4,260,000.00",Cash,"Planting of 20,000 trees at Mau Forest Block 77 with the
coordination of Kenya Water Towers Agency, to help in the
rehabilitation of the Mau Forest complex."
"Africa Extreme
(KARI Bike Challenge 2022)","350,000.00",Cash,"Support towards the KARI Bike Challenge, a mountain bike
competition aimed at raising funds for Safari Simbaz Trust that
uses cycling to support children and youth from disadvantaged
backgrounds."
"SOS Children’s Villages Kenya
(Annual Support 2022)","1,800,000.00",Cash,"Our annual support for 4 houses at the centre for KShs. 1,800,000
of which KShs. 376,700 came from staff who contributed monthly
via payroll. Staff also donated used clothing and other items to the
home. interact with the children and present donations."
"KCDF
(Pamoja 4 The Child campaign)","800,000.00",Cash,"A cash donation to the KCDF - Pamoja4. The Child campaign
included provision of sanitary kits to school girls in Western Kenya
region."
"Karura Forest
(tree planting)","1,360,000.00",Cash,"Planted 3,000 tree seedlings at Karura Forest in two phases on 3ha
section of the forest."
Kisumu Heart Centre,"49,000.00",Cash,"Participation in the 2nd annual charity Kisumu Heart & Cancer Run
organised to raise awareness and fundraise for a treatment centre."
"Safe Way Right Way
(Boda Boda Training)","5,200,000.00",Cash,"Competency Training For untrained 863 Motorcycle riders in
Nairobi."
Total,"15,883,749.00",,
