Chairman,Column,Column,Column
Jean-Philippe Torres (Resigned on 21 September 2021),3,3,100%
"Olivier Van Parys (Appointed on 21 September 2021)
(Resigned on 22 December 2021)",1,1,100%
Olagoke Aluko (Appointed on 22 December 2021),-,-,-
Executive Director – Managing Director,,,
Olagoke Aluko (Resigned on 16 August 2021),2,2,100%
Eric Fanchini (Appointed on 16 August 2021),2,2,100%
Non- Executive Directors,,,
Stanislas Mittelman* (Resigned on 10 November 2021),3,0,-
Séverine Julien (Resigned on 31 March 2021),1,1,100%
Paul-Henri A. De Pompignan (Appointed on 31 March 2021),3,3,100%
"Jean-Philippe Torres (alternate to Olagoke Aluko, Appointed on 2 December
2021)",-,-,-
Independent Directors,,,
Joseph Karago,4,4,100%
Margaret Wambui Ngugi Shava,4,4,100%
Maurice Odhiambo K’Anjejo,4,4,100%
Alternate Directors,,,
"Lawrencia Gichatha
(Ceased to be an alternate Director to Séverine Julien on 31 March 2021)
(Appointed as alternate to Paul-Henri A. De Pompignan on 31 March 2021)
(Ceased to be an alternate Director to Olagoke Aluko on 16 August 2021)
(Appointed as alternate to Eric Fanchini on 16 August 2021)",4,4,100%
"John Muchunu
(Ceased to be an alternate Director to Stanislas Mittelman on 10 November
2021)
(Appointed alternate to Jean-Philippe Torres on 2 December 2021)",3,3,100%
Company Secretary,,,
John Maonga,4,4,100%
