Lawyer,No. of Files,Total Value RwF Millions,Prospects
Athanase RUtABInGwA,11,328,Good
RwABUHIHI Godefroid,7,34,Good
nKUsI eric,7,91,Good
twAHIRwA stephen,8,33,Good
BIseRUKA Frank,17,281,Good
total,144,"6,064",Good
