No.,Location,Rented Premises
1,Kayonza,"Plot no. 056/01 Rwamagana/ 5 yr lease/104 sq meters/Rwf 648,648 per month"
2,Muhanga (Gitarama),"Plot no. 225 Gitarama/ 3 months advance notice must be given before termination/Rwf 1,000,000 per
month.
Currently building new premises on Plot no. 70 village: Rutenga Cell: Gahogo sector: nyamabuye
District: Muhanga
the Bank to occupy new property effective January 2012"
3,nyagatare,"Plot no. 1346 nyagatare/5 yr lease/Rwf 1,500,000 per month"
4,Byumba (Gicumbi),"Plot no. 914 Byumba, Gicumbi District/5 yr Lease/Rwf 900,000 per month"
5,Kabarondo,"Plot no. 2849 Kabarondo-Kayonza/ 5 yr lease/172 sq meters/Rwf 300,000 per month"
6,Kabuga,"Plot no. 122 Kabuga/5 yr Lease /102 sq meters/ Rwf 695,000 per month"
7,Kacyiru (Prester House),"Plot 922 Boulevard de l’Umuganda/5 yr Lease/147 sq meters/Us$1,764 per month"
8,Kibungo,"Plot 36 Kibungo/5 yr lease/ 91.8 sq meters /Rwf 300,000 per month"
9,Kicukiro,"Kicukiro Insurance Plaza/ 5 yr Lease /230 sq meters/Us$ 3,450 per month"
10,Kimironko,"Plot no. 10892/5 yr lease/Rwf 1,400,000 per month"
11,Kirehe,"Plot no. 36 Kirehe/ 5 yr lease/112.8 sq meters/Rwf 200,000 per month"
