2010,Increase/decrease in basis points,Effect on profit before tax
,,Rwf ‘000
US$,+/- 10,"(30,872)"
JPY,+/- 10,45
CHF,+/- 10,"14,851"
GBP,+/- 10,"328,738"
EURO,+/- 10,"(33,925)"
Others,+/- 10,"6,044"
2009,,
US$,+/- 10,"(129,571)"
JPY,+/- 10,446
CHF,+/- 10,287
GBP,+/- 10,"3,550"
EURO,+/- 10,"25,277"
Others,+/- 10,"3,717"
