Entity,Total Assets Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,37.1,1,43.6%,1,35.8%,1,40.7%,1
,15.0%,2,18.3%,2,13.8%,2,16.3%,2
,12.7%,3,10.1%,3,13.3%,3,10.5%,3
,10.4%,4,10.0%,4,10.4%,4,8.9%,4
,5.7%,5,4.9%,5,5.2%,7,5.9%,5
,5.3%,6,2.5%,8,6.4%,5,4.4%,6
,4.3%,7,1.8%,9,5.4%,6,3.9%,7
,3.6%,8,3.9%,6,3.5%,8,3.5%,8
,3.1%,9,2.6%,7,3.0%,10,2.5%,10
,2.8%,10,1.2%,10,3.2%,9,3.5%,9
