THE BANK,Column,THE GROUP,Column
2017,2016,2017,2016
FRw’000,FRw’000,FRw’000,
"82,086,644","72,233,071","82,223,868",
"(18,340,069)","(16,545,579)","(18,315,980)",
"63,746,575","55,687,492","63,907,888",
"18,341,278","14,111,523","18,341,278",
"7,800,144","6,584,107","7,786,502",
"1,117,425","181,442","2,426,510",
"91,005,422","76,564,564","92,462,178",
"(16,489,292)","(10,448,958)","(16,489,292)",
"(1,363,454)","(6,634,811)","(1,363,454)",
"73,152,676","59,480,795","74,609,432",
"(19,935,048)","(13,799,529)","(21,127,700)",
"(4,418,855)","(3,954,902)","(4,501,210)",
"(14,793,758)","(11,783,277)","(14,808,488)",
"(39,147,661)","(29,537,708)","(40,437,398)",
"34,005,015","29,943,087","34,172,034",
"(10,758,093)","(9,212,208)","(10,823,154)",
"23,246,922","20,730,879","23,348,880",
-,"5,458,581",-,
"23,246,922","26,189,460","23,348,880",
,,34.67,
,,-,
,,40%,
