Column,"31 Dec 24
FRw’000","31 Dec 23
FRw’000"
Capital Strength,,
Core capital (Tier 1),"377,388,017","344,160,868"
,"23,959,999",
,"401,348,016",
,"1,717,599056","1,717,599056"
,"25,625,490","25,625,490"
,"173,575,397","173,575,397"
,"1,916,799,942","3,274,998"
,21%,
,0.0215,
,12%,
