Balance as at 31 December 2018,Weighted interest rate,Column,+/- 100bp
Effect on Interest income,,FRw’000,FRw’000
Balances with the National Bank of Rwanda,4.3%,"20,303,937","203,039"
Balances and placements with other banks,1.0%,"105,210,355","1,052,104"
Treasury bills and bonds,9.9%,"73,594,798","735,948"
Loans and advances - Net,15.3%,"568,104,724","5,681,047"
TOTAL ASSETS/INCREASE,,"767,213,814","7,672,138"
Effect on Interest expense,,,
Balances and placements due to banks,6.7%,"39,514,948","395,149"
Customer deposits,6.5%,"139,871,293","1,398,713"
Long-Term Finance,6.8%,"50,883,806","508,838"
TOTAL LIABILITIES/INCREASE,,"230,270,047","2,302,700"
EFFECT ON PROFIT,,,"5,369,438"
