PERFORMANCE & STATUTORY RATIOS,2006,2007,2008,2009,2010
Total Capital to total weighted assets,13.1%,14.1%,14.9%,17.4%,20.1%
NPLs to Gross loans,23.6%,19.4%,15.4%,8.4%,8.4%
Earning assets to total assets,81.0%,81.7%,82.5%,87.5%,79.2%
Return on average equity,30.7%,37.5%,39.4%,30.7%,24.4%
Cost to income,54.6%,39.5%,39.8%,44.1%,47.5%
