Column,29 August 2014
"Current price, RwF",260
"Market Cap, US$ mln",255
Free float,45%
Free float in US$ mln,115
Average daily traded volume in US$ mln,0.1
"Common shares outstanding, mln shares",671.1
12-month high,365
12-month low,170
P/E 2014 (based on current price),10.10x
P/BV 2014( based on current price),2.13x
"Dividend yield, 2013",4.6%
"Dividend yield, 2014( based on current price)",4.9%
Ticker Code,BOK
Bloomberg,BOK. RW
Rwf/USD Exchange Rate of 684.263as at 29 August 2014,
*Capital gains on RSE transactions are exempted from Capital Gains Tax,
