Entity,Total Assets Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,36.9%,1,44.0%,1,35.7%,1,41.6%,1
,15.2%,2,18.8%,2,14.2%,2,16.2%,2
,12.7%,3,10.0%,3,13.8%,3,9.7%,3
,10.4%,4,9.4%,4,9.6%,4,9.1%,4
,6.0%,5,5.2%,5,5.4%,7,5.9%,5
,5.1%,6,2.4%,8,6.0%,5,4.3%,6
,4.3%,7,2.3%,9,5.6%,6,3.8%,7
,3.5%,8,3.7%,6,3.5%,8,3.4%,9
,3.3%,9,2.6%,7,3.0%,10,2.5%,10
,2.7%,10,1.4%,10,3.2%,9,3.5%,8
