Column,31 March 2019
"Current price, FRw",275
"Market Cap, US$ mln",277.4
Free float,60%
Free float in US$ mln,166.5
Average daily turnover in US$ mln,0.20
"Common shares outstanding, mlnshares",896.8
12-month high,300
12-month low,270
P/E Q1 2019(based on current price),8.26x
P/BV Q1 2019 (based on current price),1.24x
"Dividend yield, 2018(based on current price)",4.4%
"EPS, Q1 2019",33.3
Ticker Code,BOK
Bloomberg,BOK.RW
FRw/USD Exchange Rate of 888.86 as at 29thMarch2019 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
