Key Prudential Ratio,2020,2021,2022,2023,9M-2024
Cost/Income Ratio (CIR),32.5%,36.3%,45.7%,42.8%,37.2%
Net Interest Margin (NIM),10.7%,10.9%,9.7%,10.0%,9.2%
Return on Equity (ROE),16.0%,20.3%,21.4%,25.2%,26.6%
Capital Adequacy Ratio (Tier 2),22.6%,18.2%,22.6%,19.4%,18.5%
Cost of Risk,4.5%,3.4%,0.9%,1.5%,2.2%
Coverage Ratio,107.2%,124.1%,197.7%,106.3%,89.1%
Non-Performing Loans (NPL) Ratio,6.9%,5.3%,2.6%,4.5%,4.8%
