Column,Actual 2010,Required 2010,Actual 2009,Required 2009
,Rwf’000,Rwf’000,Rwf’000,Rwf’000
Tier 1 Capital,"24,719,345","19,798,758","18,540,763","10,650,617"
Tier 2 Capital,"1,787,636",-,-,-
Total Capital,"26,506,981","19,798,758","18,540,763","10,650,617"
