Column,"31 December 2019
FRw’000","31 December 2018
FRw’000"
Loan loss provision under IFRS_9 (Note 23),"21,647,556","13,990,992"
"Expected credit loss on off balance sheet
items","38,719","2,306"
"Expected credit loss on investment secu-
rities","(166,252)","728,368"
Bad debts recovered during the year,"(3,633,938)","(3,312,084)"
,"17,886,085","11,409,582"
