At 31 December 2019,"Less than
12 months","Over
12 months",Total
ASSETS,FRw’000,FRw’000,FRw’000
Cash in hand,"14,400,534",-,"14,400,534"
"Balances with the National
Bank of Rwanda","68,351,345",-,"68,351,345"
"Balances held with other finan-
cial institutions","77,286,457",-,"77,286,457"
"Investment securities at amor-
tized costs","97,595,208","27,201,906","124,797,114"
"Loans and advances to cus-
tomers","128,194,452","549,811,433","678,005,885"
Insurance receivable,"2,923,995",-,"2,923,995"
Deferred income tax asset,-,"5,261,914","5,261,914"
Other assets,"11,004,289","573,648","11,577,937"
Right to use assets,-,"3,309,375","3,309,375"
Intangible assets,-,"6,771,054","6,771,054"
Property and equipment,-,"26,389,977","26,389,977"
Total assets,"399,756,280","619,319,307","1,019,075,587"
