Assets,"Up to one
month",1-3 months,3-6 months,6-12 months,1-5 years,Over 5 years,Total
,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000
Cash in hand,"3,817,445",-,-,-,-,-,"3,817,445"
"Cash balances with the national
Bank of Rwanda","6,183,850",-,-,-,-,-,"6,183,850"
"Placements and balances with
other banking institutions","25,050,666",-,-,-,-,-,"25,050,666"
"Loans and advances to
customers","21,158,191","608,968","1,141,630","2,135,550","23,969,642","23,080,243","72,094,224"
"Financial investments – held-to-
maturity",-,-,-,-,"4,494,583",,"4,494,583"
"Financial investments – available-
for-sale",-,-,-,-,-,"315,108","315,108"
other assets,"3,218,892",-,-,-,-,-,"3,218,892"
Intangible assets,-,-,-,-,-,"13,069","13,069"
Property and equipment,-,-,-,-,-,"5,558,552","5,558,552"
total assets,"59,429,044","608,968","1,141,630","2,135,550","28,464,225","28,966,972","120,746,389"
Liabilities and equity,,,,,,,
Customer deposits,"76,577,281","5,004,481","5,304,019","6,952,698",-,-,"93,838,479"
"Deposits and balances from
banks and other financial
Institutions","3,289,453","5,000","1,500,000","2,505,000",-,-,"7,299,453"
tax payable,-,-,"1,032,867",-,-,-,"1,032,867"
other payables,"1,959,760",-,"144,619",-,-,-,"2,104,379"
Provisions,"18,728",-,-,-,-,-,"18,728"
Deferred tax,"555,201",-,-,-,-,-,"555,201"
"total liabilities at 31 December
2008","82,400,423","5,009,481","7,981,505","9,457,698",-,-,"104,849,107"
"owners’ equity as at 31
December, 2008",-,-,-,-,-,"15,897,282","15,897,282"
Maturity gap for 2008,"(22,971,379)","(4,400,513)","(6,839,875)","(7,322,148)","28,464,225","13,069,690",-
"off statement of financial position
gap 2008",negative Gap,negative Gap,negative Gap,negative Gap,Positive Gap,Positive Gap,-
