IFRS Based,Column,Column,FY 2025,Column,Column,Column,Column,Column,FY 2024,Column,Column,Column,Column,Change
,,,(RWF,,US$,,KES,,(RWF,,US$,,"KES
(Bn)","YoY, %"
,,,bn),,(Mn),,(Bn),,bn),,(Mn),,,
Interest Income,,277.9,,190.6,,24.6,,251.1,,181.6,,23.4,,11%
Interest Expense,,57.4,,39.4,,5.1,,60.5,,43.7,,5.6,,-5.0%
,Net Interest Income,,220.5,,151.2,,19.5,,190.7,,137.9,,17.8,15.6%
FX related Income,,16.8,,11.5,,1.5,,20.8,,15.0,,1.9,,-19.5%
Net Fee & Commission Income,,36.6,,25.1,,3.2,,40.0,,28.9,,3.7,,-8.5%
Other Non-interest Income,,7.2,,5.0,,0.6,,7.2,,5.2,,0.7,,0.8%
,Net Non-Interest Income,,60.6,,41.6,,5.4,,68.0,,49.2,,6.3,-10.9%
,Total Operating Income,,281.1,,192.8,,24.8,,258.7,,187.0,,24.1,8.7%
Recurring Operating Costs,,,,,,,,,,,,,,
Personnel Cost,,45.4,,31.2,,4.0,,40.2,,29.0,,3.7,,13.1%
Bonus Pool,,7.9,,5.4,,0.7,,6.5,,4.7,,0.6,,22.1%
Administration and General expenses,,40.7,,27.9,,3.6,,41.0,,29.6,,3.8,,-0.6%
Depreciation & Amortisation,,12.5,,8.6,,1.1,,10.9,,7.9,,1.0,,14.5%
,Total Recurring Operating Costs,,106.6,,73.1,,9.4,,98.5,,71.2,,9.2,8.1%
,Pre-Provision Operating Profit,,174.5,,119.7,,15.4,,160.1,,115.8,,14.9,9.0%
Gross Loan Loss Provisions,,20.9,,14.3,,1.8,,38.9,,28.1,,3.6,,-46.2%
Gains on recovery,,3.9,,2.6,,0.3,,4.8,,3.5,,0.5,,-20.6%
,Net Impairment on Loans & advances,,17.1,,11.7,,1.5,,34.0,,24.6,,3.2,-49.9%
,Profit Before Tax,,157.5,,108.0,,13.9,,126.1,,91.2,,11.8,24.9%
Income Tax Expense,,47.4,,32.5,,4.2,,35.1,,25.4,,3.3,,35.0%
,Net Income,,110.1,,75.5,,9.7,,91.0,,65.8,,8.5,20.9%
