Column,"June 30th, 2021"
Current price,FRw240 / KeS27
"Market Cap, US$ mln",RSE 219.9/ NSE 226.4
"Common shares outstanding, mlnshares",904.5
12-month high,FRw260 / KeS27
12-month low,FRw225 / KeS12
P/E 1H 2020(based on current price),RSE 4.8x / NSE 4.9x
P/BV1H 2020 (based on current price),RSE 0.8x / NSE 0.8x
"Dividend yield, 2019(based on current price)",6.1%
EPS1H 2021,FRw50.3 / KeS5.5
Ticker Code,BOK
Bloomberg,BOK
"FRw/USD Exchange Rate of 987.14 at June 30th, 2021 (BNR Middle Rate)",
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
