Key Prudential Ratio,Dec-21,Dec-22,Dec-23,Dec-24,Mar-25
Cost/Income Ratio (CIR),36.30%,45.70%,42.80%,36.70%,32.60%
Net Interest Margin (NIM),10.90%,9.70%,9.80%,9.21%,8.70%
Return on Equity (ROAE),20.30%,21.40%,25.20%,25.90%,26.20%
Return on Assets (ROAA),3.45%,3.57%,3.81%,4.00%,4.00%
Capital Adequacy Ratio (Tier 2),18.20%,22.60%,19.40%,19.20%,19.80%
Cost of Risk,3.40%,0.90%,1.50%,2.38%,1.60%
Non-Performing Loans (NPL) Ratio,5.30%,2.60%,4.30%,3.22%,3.60%
