Column,Column,2010,2009,2008
,,RwF 000,RwF 000,RwF 000
3.,cash in hand,,,
,Cash in foreign currencies,"4,402,749","2,917,830","2,247,497"
,Cash in local currency,"2,479,096","1,705,690","1,569,948"
,total,"6,881,845","4,623,520","3,817,445"
4.,Due from national Bank of rwanda,,,
,Balances in RePos,"16,229,323","15,700,004","4,000,000"
,Balances in current accounts,"6,333,182","3,399,154","2,183,850"
,total,"22,562,505","19,099,158","6,183,850"
,Included is the statutory requirement of BnR to deposit 8% of customers total deposits,,,
5.,Due from banks,,,
,Due from local banks,"250,877","97,531","259,447"
,Due from correspondent banks,"36,288,465","2,025,808","5,154,619"
,short term investments in foreign banks,"1,912,836","26,631,260","19,636,600"
,total,"38,452,178","28,754,599","25,050,666"
6.,Loans and advances to customers,,,
,a) net loans and advances,,,
,Manufacturing,"11,512,636","9,746,512","10,589,731"
,Construction,"30,813,119","21,281,399","19,750,428"
,"Commerce, restaurants & hotels","48,318,218","37,573,258","40,774,528"
,transport & Communication,"7,368,034","6,989,123","5,716,775"
,others,"7,514,666","5,323,615","1,979,336"
,,"105,526,673","80,913,907","78,810,798"
,Less: Allowance for impairment losses (6 b),"(4,124,016)","(3,818,041)","(6,716,574)"
,net loans and advances,"101,402,657","77,095,866","72,094,224"
,b) Impairment allowance for loans and advances to customers,,,
,Impairment allowance for loans and advances,"3,198,058","2,932,503","3,791,537"
,Bank charges,,,
,Interests accrued on impaired loans and advances,"925,958","885,538","2,925,037"
,,"4,124,016","3,818,041","6,716,574"
,Impaired loans and advances,"9,003,141","6,685,247","12,137,932"
"Interest income is suspended for Non Performing Loans but continues to be accrued on the account balances based on the
original effective interest rates.",,,,
,c) Impairment allowance for loans and advances,,,
,At January,"2,932,503","3,791,537","4,509,271"
,Impairment allowance for loans and advances,"6,074,342","4,108,897","1,999,966"
,Recoveries,"(3,698,061)","(2,608,851)","(1,744,818)"
,Amounts written off,"(2,110,726)","(2,359,080)","(972,882)"
,At December,"3,198,058","2,932,503","3,791,537"
,d) Impairment losses of the year,,,
,Impairment losses on loans and advances,"(6,074,342)","(4,108,897)","(1,999,966)"
,Recoveries on non performing loans,"3,698,061","2,608,851","1,744,818"
,Charge of the year,"(2,376,281)","(1,500,046)","(255,148)"
