RwfBillion,Mar-24,Mar-25,Change YoY
Net Interest Income,45.32,49.12,8.4%
Net Fee Income,11.42,7.55,-33.9%
Other Income,4.53,5.35,18.1%
Total Operating Income,61.28,62.02,1.2%
Operating Expenses,(22.15),(20.20),-8.8%
Net Operating Income,39.12,82.22,110.1%
Net Impairment provisions,(7.68),(6.42),-16.4%
Profit Before Tax,31.45,35.41,12.6%
