Column,Column,FY 2021,Column,FY 2022,Column,FY 2023,Column,FY 2024,Q1 2025
Net Interest Margin,10.9%,,9.7%,,10.0%,,9.4%,,9.0%
Non-Performing Loan (NPL) Ratio,5.3%,,2.6%,,4.5%,,3.2%,,3.6%
Cost-to-Income (CIR) Ratio,36.3%,,45.7%,,42.8%,,38.1%,,33.9%
Cost of Risk Ratio,3.4%,,0.9%,,1.5%,,2.4%,,1.6%
