Report date,24-Nov-11
"Current price, RwF",130
"Market Cap, US$ mln",144
Free float,45%
Free float in US$ mln,67
Average daily traded volume in US$ mln,0.18
"Common shares outstanding, mln shares",667.3
12-month high,200
12-month low,127
P/E 2010,9.74
P/BV 2010,1.51
TTiicckkeerr CCooddee,BBOOKK
Rwf/USD Exchange Rate (e-o-p) of 601.716 as at 24 November 2011,
"*Capital gains on the RSE transactions are exempted from Capital
Gains Tax",
