2011,Increase/decrease in basis points,Effect on profit before tax
,,Rwf’000
Rwf,+/- 1,"587,641"
US$,+/- 1,"(13,441)"
JPY,+/- 1,3
CHF,+/- 1,(132)
GBP,+/- 1,"18,708"
EURO,+/- 1,"24,797"
Others,+/- 1,(353)
